epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,509.37,0.54724,0.3897,1.04738,0.99734,1,0.995,0.94474,0.33208,0.22103,0.86356,0.000643795,0.000643795,0.000643795
64,517.741,0.54216,0.39865,1.05178,0.99754,1,0.995,0.95615,0.32401,0.22051,0.86209,0.000627292,0.000627292,0.000627292
65,526.104,0.57746,0.42301,1.09808,0.99745,1,0.995,0.96035,0.32802,0.22707,0.8524,0.000610789,0.000610789,0.000610789
66,534.732,0.55537,0.40232,1.04004,0.99794,1,0.995,0.97015,0.30249,0.20551,0.84071,0.000594286,0.000594286,0.000594286
67,543.426,0.58078,0.40204,1.07025,0.99707,1,0.995,0.96161,0.34442,0.24232,0.85544,0.000577782,0.000577782,0.000577782
68,551.775,0.57312,0.39597,1.03963,0.99663,1,0.995,0.94701,0.35156,0.22967,0.8587,0.000561279,0.000561279,0.000561279
69,560.119,0.5618,0.38002,1.06895,0.9978,1,0.995,0.9541,0.3291,0.21569,0.8502,0.000544776,0.000544776,0.000544776
70,568.407,0.67404,0.50809,1.14296,0.99718,1,0.995,0.9428,0.34004,0.23331,0.8754,0.000528272,0.000528272,0.000528272
71,576.722,0.5797,0.50629,1.07667,0.99652,1,0.995,0.94008,0.33732,0.22562,0.85991,0.000511769,0.000511769,0.000511769
72,584.974,0.53361,0.40146,1.04183,0.9978,1,0.995,0.95838,0.30528,0.21876,0.84553,0.000495266,0.000495266,0.000495266
73,593.312,0.55574,0.43509,1.06086,0.99759,1,0.995,0.95469,0.3019,0.20611,0.84695,0.000478762,0.000478762,0.000478762
74,601.597,0.50348,0.37434,1.03703,0.99775,1,0.995,0.96854,0.29055,0.21893,0.84099,0.000462259,0.000462259,0.000462259
75,609.9,0.53011,0.35661,1.0395,0.99788,1,0.995,0.96714,0.29634,0.21312,0.84103,0.000445756,0.000445756,0.000445756
76,618.262,0.52267,0.38075,0.99467,0.99796,1,0.995,0.97236,0.30011,0.21641,0.8425,0.000429253,0.000429253,0.000429253
77,626.885,0.53769,0.36439,1.05106,0.99788,1,0.995,0.9738,0.29893,0.20801,0.83736,0.000412749,0.000412749,0.000412749
78,635.517,0.49714,0.34915,1.01479,0.99787,1,0.995,0.97694,0.26676,0.18553,0.81852,0.000396246,0.000396246,0.000396246
79,644.129,0.50397,0.35252,1.02024,0.99786,1,0.995,0.97616,0.26798,0.18761,0.81697,0.000379743,0.000379743,0.000379743
80,652.469,0.49464,0.35603,1.01156,0.99769,1,0.995,0.96334,0.27201,0.18222,0.8204,0.000363239,0.000363239,0.000363239
81,660.829,0.51414,0.35272,1.05014,0.99712,1,0.995,0.96897,0.27639,0.18993,0.82353,0.000346736,0.000346736,0.000346736
82,669.182,0.48488,0.33936,1.02606,0.99724,1,0.995,0.96925,0.28107,0.19278,0.8288,0.000330233,0.000330233,0.000330233
83,677.576,0.4701,0.32789,0.99647,0.99798,1,0.995,0.97193,0.2735,0.18795,0.82722,0.000313729,0.000313729,0.000313729
84,685.955,0.49078,0.35281,1.00978,0.99824,1,0.995,0.97273,0.27545,0.18097,0.82814,0.000297226,0.000297226,0.000297226
85,694.333,0.46194,0.33594,0.97593,0.99795,1,0.995,0.97243,0.29529,0.18755,0.83033,0.000280723,0.000280723,0.000280723
86,702.72,0.49314,0.33441,1.02476,0.99819,1,0.995,0.96139,0.29957,0.18231,0.83332,0.00026422,0.00026422,0.00026422
87,711.063,0.48646,0.35054,1.03185,0.99789,1,0.995,0.96114,0.29455,0.17953,0.82978,0.000247716,0.000247716,0.000247716
88,719.406,0.44077,0.32842,0.99909,0.99757,1,0.995,0.96782,0.27916,0.18088,0.82584,0.000231213,0.000231213,0.000231213
89,727.771,0.49548,0.33377,1.01045,0.99721,1,0.995,0.97099,0.25952,0.16787,0.818,0.00021471,0.00021471,0.00021471
90,736.101,0.44097,0.30635,0.99761,0.99743,1,0.995,0.96828,0.26695,0.16945,0.82211,0.000198206,0.000198206,0.000198206
91,745.004,0.31751,0.24487,0.94406,0.99741,1,0.995,0.97429,0.26644,0.18598,0.82184,0.000181703,0.000181703,0.000181703
92,753.461,0.27648,0.21092,0.89863,0.99622,1,0.995,0.97165,0.27903,0.19032,0.82541,0.0001652,0.0001652,0.0001652
93,761.82,0.2856,0.22444,0.92094,0.99511,1,0.995,0.97256,0.27644,0.18295,0.82632,0.000148696,0.000148696,0.000148696
94,770.155,0.28654,0.2059,0.90585,0.99577,1,0.995,0.97316,0.27609,0.18137,0.82949,0.000132193,0.000132193,0.000132193
95,778.516,0.28291,0.19542,0.90061,0.99695,1,0.995,0.9767,0.2641,0.1703,0.82369,0.00011569,0.00011569,0.00011569
96,786.871,0.26381,0.18751,0.87363,0.99729,1,0.995,0.97296,0.26198,0.16562,0.81804,9.91865e-05,9.91865e-05,9.91865e-05
97,795.233,0.28399,0.20224,0.90307,0.99748,1,0.995,0.97538,0.25853,0.16498,0.81559,8.26832e-05,8.26832e-05,8.26832e-05
98,803.553,0.27162,0.19808,0.90214,0.99745,1,0.995,0.97527,0.25432,0.15934,0.81582,6.61799e-05,6.61799e-05,6.61799e-05
99,811.869,0.24927,0.17998,0.89712,0.99747,1,0.995,0.98002,0.25347,0.15532,0.81458,4.96766e-05,4.96766e-05,4.96766e-05
100,820.336,0.27325,0.18581,0.89376,0.99755,1,0.995,0.97741,0.25318,0.15372,0.81372,3.31733e-05,3.31733e-05,3.31733e-05
